kategorija;naziv;mpc;valuta;sidrena_cijena;sidrena_cijena_datum;posebna_prodaja
Topli Napici;Kava;1.90;EUR;1.90;2026-09-10;
Topli Napici;Kava s mlijekom;2.00;EUR;2.00;2026-09-10;
Topli Napici;Kava sa šlagom;2.00;EUR;2.00;2026-09-10;
Topli Napici;Kava bez kofeina;2.50;EUR;2.50;2026-09-10;
Topli Napici;Cappuccino;2.50;EUR;2.50;2026-09-10;
Topli Napici;Cap. Iz aparata;2.50;EUR;2.50;2026-09-10;
Topli Napici;Bijela kava;2.50;EUR;2.50;2026-09-10;
Topli Napici;Kakao;2.80;EUR;2.80;2026-09-10;
Topli Napici;Vruća čokolada;3.50;EUR;3.50;2026-09-10;
Topli Napici;Čaj s limunom i medom;2.00;EUR;2.00;2026-09-10;
Topli Napici;Med;0.30;EUR;0.30;2026-09-10;
Topli Napici;Ledena kava;3.30;EUR;3.30;2026-09-10;
Topli Napici;Kava za van;2.00;EUR;2.00;2026-09-10;
Topli Napici;Kava sa sladoledom;5.00;EUR;5.00;2026-09-10;
Topli Napici;Nescafe;2.50;EUR;2.50;2026-09-10;
Bezalkoholna pića;Coca-Cola / Coca-Cola Zero (razne vrste);3.20;EUR;3.20;2026-09-10;
Bezalkoholna pića;Fanta;3.20;EUR;3.20;2026-09-10;
Bezalkoholna pića;Sprite;3.20;EUR;3.20;2026-09-10;
Bezalkoholna pića;Schweppes (razni okusi);3.20;EUR;3.20;2026-09-10;
Bezalkoholna pića;Prirodni sokovi;3.40;EUR;3.40;2026-09-10;
Bezalkoholna pića;Ledeni caj;3.00;EUR;3.00;2026-09-10;
Bezalkoholna pića;Limunada;2.40;EUR;2.40;2026-09-10;
Bezalkoholna pića;Limunada;3.00;EUR;3.00;2026-09-10;
Bezalkoholna pića;Limunada;3.40;EUR;3.40;2026-09-10;
Bezalkoholna pića;Cedevita;2.80;EUR;2.80;2026-09-10;
Bezalkoholna pića;Cockta;3.20;EUR;3.20;2026-09-10;
Bezalkoholna pića;Orangina;3.40;EUR;3.40;2026-09-10;
Bezalkoholna pića;Römerquelle Emotion;3.00;EUR;3.00;2026-09-10;
Bezalkoholna pića;Römerquelle Mineralna;3.00;EUR;3.00;2026-09-10;
Bezalkoholna pića;Prirodna voda;3.00;EUR;3.00;2026-09-10;
Bezalkoholna pića;Jana s okusom;3.00;EUR;3.00;2026-09-10;
Smoothie;Ljetni smoothie;3.90;EUR;3.90;2026-09-10;
Smoothie;Ostanifit;3.70;EUR;3.70;2026-09-10;
Smoothie;Antistres;3.70;EUR;3.70;2026-09-10;
Smoothie;Zdravanavika;3.70;EUR;3.70;2026-09-10;
Smoothie;Sportskiosjećaj;3.70;EUR;3.70;2026-09-10;
Smoothie;Bez doktora;3.70;EUR;3.70;2026-09-10;
Smoothie;Juicy orange;3.40;EUR;3.40;2026-09-10;
Kolači;Ferrero torta;3.50;EUR;3.50;2026-09-10;
Kolači;Šumska čarolija;3.50;EUR;3.50;2026-09-10;
Kolači;Jaffa torta;3.50;EUR;3.50;2026-09-10;
Kolači;Krempita;3.00;EUR;3.00;2026-09-10;
Kolači;Nutella kocka;3.00;EUR;3.00;2026-09-10;
Kolači;Medovik;3.00;EUR;3.00;2026-09-10;
Kolači;Pistachio cheesecake;4.90;EUR;4.90;2026-09-10;
Kolači;Dubai torta;4.90;EUR;4.90;2026-09-10;
Kolači;Maxi King;4.90;EUR;4.90;2026-09-10;
Kolači;Tiramisu;3.50;EUR;3.50;2026-09-10;
Kolači;Kesten pire;3.50;EUR;3.50;2026-09-10;
Kolači;Baklava;3.50;EUR;3.50;2026-09-10;
Kolači;Bueno;3.50;EUR;3.50;2026-09-10;
Kolači;Ledeni vjetar;3.50;EUR;3.50;2026-09-10;
Kolači;Trileće;3.50;EUR;3.50;2026-09-10;
Kolači;Šampita;3.50;EUR;3.50;2026-09-10;
Palačinke;Dubai;9.00;EUR;9.00;2026-09-10;
Palačinke;Nutella;4.50;EUR;4.50;2026-09-10;
Palačinke;Linolada;4.50;EUR;4.50;2026-09-10;
Palačinke;Prazna;4.00;EUR;4.00;2026-09-10;
Palačinke;Kinder Bueno;6.50;EUR;6.50;2026-09-10;
Palačinke;M&M's;6.50;EUR;6.50;2026-09-10;
Palačinke;Raffaello;6.50;EUR;6.50;2026-09-10;
Palačinke;Oreo;6.50;EUR;6.50;2026-09-10;
Palačinke;Milka;6.50;EUR;6.50;2026-09-10;
Palačinke;Kinder Maxi King;7.00;EUR;7.00;2026-09-10;
Palačinke;Šumsko Voće;7.00;EUR;7.00;2026-09-10;
Palačinke;Toffifee;7.00;EUR;7.00;2026-09-10;
Palačinke;Snickers;7.00;EUR;7.00;2026-09-10;
Palačinke;Jaffa;7.00;EUR;7.00;2026-09-10;
Palačinke;Ferrero;7.00;EUR;7.00;2026-09-10;
Palačinke;Bananko;7.00;EUR;7.00;2026-09-10;
Sladoled;Svi okusi;2.00;EUR;2.00;2026-09-10;
Sladoled;Vanilija;2.00;EUR;2.00;2026-09-10;
Sladoled;Čokolada;2.00;EUR;2.00;2026-09-10;
Sladoled;Rum Punch;2.00;EUR;2.00;2026-09-10;
Sladoled;KinderBueno;2.00;EUR;2.00;2026-09-10;
Sladoled;Nutella;2.00;EUR;2.00;2026-09-10;
Sladoled;Red Bull;2.00;EUR;2.00;2026-09-10;
Sladoled;Zelena Jabuka;2.00;EUR;2.00;2026-09-10;
